Rank,State,Number of Gun Safety Policies Adopted
1,California,45
2,Illinois,42
2,New York,42
4,Connecticut,41
4,Hawaii,41
6,New Jersey,40
7,Maryland,39
8,Massachusetts,38
9,Washington,33
10,Colorado,32
11,Oregon,31
12,Delaware,28
12,Rhode Island,28
14,Virginia,27
15,Pennsylvania,26
16,Minnesota,24
17,New Mexico,19
18,Vermont,18
19,Florida,17
19,Nevada,17
19,North Carolina,17
22,Tennessee,15
22,Wisconsin,15
24,Michigan,14
24,Nebraska,14
26,Iowa,13
26,Louisiana,13
26,Maine,13
29,Texas,12
30,Alabama,11
30,Ohio,11
30,South Carolina,11
30,West Virginia,11
34,Indiana,10
34,North Dakota,10
36,Utah,9
37,Kansas,8
38,Missouri,8
39,Alaska,7
39,Arizona,7
39,Kentucky,7
39,New Hampshire,7
39,Oklahoma,7
44,South Dakota,5
45,Arkansas,4
45,Georgia,4
45,Idaho,4
45,Montana,4
45,Wyoming,4
50,Mississippi,3
