,year_and_quarter,state,rate,year
8,2022 Q1,AK,25.7,2022
9,2022 Q2,AK,23.6,2022
10,2022 Q3,AK,23.3,2022
19,2022 Q1,AL,25.3,2022
20,2022 Q2,AL,25.2,2022
21,2022 Q3,AL,25.6,2022
30,2022 Q1,AR,22.1,2022
31,2022 Q2,AR,21.7,2022
32,2022 Q3,AR,22.4,2022
41,2022 Q1,AZ,19.3,2022
42,2022 Q2,AZ,20.5,2022
43,2022 Q3,AZ,20.9,2022
52,2022 Q1,CA,9.1,2022
53,2022 Q2,CA,9,2022
54,2022 Q3,CA,9.1,2022
63,2022 Q1,CO,17.6,2022
64,2022 Q2,CO,17.3,2022
65,2022 Q3,CO,17.8,2022
74,2022 Q1,CT,7.3,2022
75,2022 Q2,CT,7.1,2022
76,2022 Q3,CT,6.8,2022
85,2022 Q1,DC,26.7,2022
86,2022 Q2,DC,28.5,2022
87,2022 Q3,DC,26.9,2022
96,2022 Q1,DE,15.8,2022
97,2022 Q2,DE,14,2022
98,2022 Q3,DE,12.6,2022
107,2022 Q1,FL,14.3,2022
108,2022 Q2,FL,14.7,2022
109,2022 Q3,FL,14.7,2022
118,2022 Q1,GA,20.7,2022
119,2022 Q2,GA,20.5,2022
120,2022 Q3,GA,19.7,2022
129,2022 Q1,HI,5,2022
130,2022 Q2,HI,4.7,2022
131,2022 Q3,HI,4.3,2022
140,2022 Q1,IA,11.3,2022
141,2022 Q2,IA,11.1,2022
142,2022 Q3,IA,10.9,2022
151,2022 Q1,ID,16.2,2022
152,2022 Q2,ID,17.6,2022
153,2022 Q3,ID,16.6,2022
162,2022 Q1,IL,15.6,2022
163,2022 Q2,IL,15.4,2022
164,2022 Q3,IL,14.7,2022
173,2022 Q1,IN,18,2022
174,2022 Q2,IN,18.5,2022
175,2022 Q3,IN,17.9,2022
184,2022 Q1,KS,18,2022
185,2022 Q2,KS,18.2,2022
186,2022 Q3,KS,17.5,2022
195,2022 Q1,KY,20.5,2022
196,2022 Q2,KY,19.8,2022
197,2022 Q3,KY,18.6,2022
206,2022 Q1,LA,28.5,2022
207,2022 Q2,LA,28.8,2022
208,2022 Q3,LA,27.4,2022
217,2022 Q1,MA,3.7,2022
218,2022 Q2,MA,3.8,2022
219,2022 Q3,MA,3.9,2022
228,2022 Q1,MD,14.6,2022
229,2022 Q2,MD,14.1,2022
230,2022 Q3,MD,13.5,2022
239,2022 Q1,ME,12.6,2022
240,2022 Q2,ME,12.5,2022
241,2022 Q3,ME,11.8,2022
250,2022 Q1,MI,15.6,2022
251,2022 Q2,MI,15.5,2022
252,2022 Q3,MI,15,2022
261,2022 Q1,MN,10.1,2022
262,2022 Q2,MN,10.5,2022
263,2022 Q3,MN,10.3,2022
272,2022 Q1,MO,23.3,2022
273,2022 Q2,MO,23.7,2022
274,2022 Q3,MO,23.8,2022
283,2022 Q1,MS,32.3,2022
284,2022 Q2,MS,31.1,2022
285,2022 Q3,MS,28.4,2022
294,2022 Q1,MT,25.5,2022
295,2022 Q2,MT,24.1,2022
296,2022 Q3,MT,24.2,2022
305,2022 Q1,NC,17.4,2022
306,2022 Q2,NC,17.2,2022
307,2022 Q3,NC,17.3,2022
316,2022 Q1,ND,16.4,2022
317,2022 Q2,ND,15.9,2022
318,2022 Q3,ND,15.8,2022
327,2022 Q1,NE,10.3,2022
328,2022 Q2,NE,11.3,2022
329,2022 Q3,NE,12.5,2022
338,2022 Q1,NH,8.7,2022
339,2022 Q2,NH,9.3,2022
340,2022 Q3,NH,10.3,2022
349,2022 Q1,NJ,5.5,2022
350,2022 Q2,NJ,5.4,2022
351,2022 Q3,NJ,5.3,2022
360,2022 Q1,NM,27.5,2022
361,2022 Q2,NM,27.1,2022
362,2022 Q3,NM,27.9,2022
371,2022 Q1,NV,19.5,2022
372,2022 Q2,NV,19.8,2022
373,2022 Q3,NV,19.2,2022
382,2022 Q1,NY,5.6,2022
383,2022 Q2,NY,5.6,2022
384,2022 Q3,NY,5.5,2022
393,2022 Q1,OH,16.3,2022
394,2022 Q2,OH,16.2,2022
395,2022 Q3,OH,15.9,2022
404,2022 Q1,OK,20.5,2022
