,year_and_quarter,state,rate,year
0,2020 Q1,AK,23.4,2020
1,2020 Q2,AK,23.3,2020
2,2020 Q3,AK,25.3,2020
3,2020 Q4,AK,23.9,2020
4,2021 Q1,AK,23.1,2021
5,2021 Q2,AK,25.1,2021
6,2021 Q3,AK,24.4,2021
7,2021 Q4,AK,24.8,2021
8,2022 Q1,AK,25.7,2022
9,2022 Q2,AK,23.6,2022
10,2022 Q3,AK,23.3,2022
11,2020 Q1,AL,21.6,2020
12,2020 Q2,AL,22.5,2020
13,2020 Q3,AL,22.8,2020
14,2020 Q4,AL,23.2,2020
15,2021 Q1,AL,24.2,2021
16,2021 Q2,AL,24.8,2021
17,2021 Q3,AL,25.4,2021
18,2021 Q4,AL,26.1,2021
19,2022 Q1,AL,25.3,2022
20,2022 Q2,AL,25.2,2022
21,2022 Q3,AL,25.6,2022
22,2020 Q1,AR,19.5,2020
23,2020 Q2,AR,21.7,2020
24,2020 Q3,AR,21.2,2020
25,2020 Q4,AR,22.2,2020
26,2021 Q1,AR,22.6,2021
27,2021 Q2,AR,22.9,2021
28,2021 Q3,AR,22.7,2021
29,2021 Q4,AR,23.1,2021
30,2022 Q1,AR,22.1,2022
31,2022 Q2,AR,21.7,2022
32,2022 Q3,AR,22.4,2022
33,2020 Q1,AZ,15.7,2020
34,2020 Q2,AZ,15.2,2020
35,2020 Q3,AZ,16.2,2020
36,2020 Q4,AZ,17,2020
37,2021 Q1,AZ,17.1,2021
38,2021 Q2,AZ,18.3,2021
39,2021 Q3,AZ,18.4,2021
40,2021 Q4,AZ,18.8,2021
41,2022 Q1,AZ,19.3,2022
42,2022 Q2,AZ,20.5,2022
43,2022 Q3,AZ,20.9,2022
44,2020 Q1,CA,7.6,2020
45,2020 Q2,CA,7.7,2020
46,2020 Q3,CA,8,2020
47,2020 Q4,CA,8.8,2020
48,2021 Q1,CA,9,2021
49,2021 Q2,CA,9.3,2021
50,2021 Q3,CA,9.3,2021
51,2021 Q4,CA,9.1,2021
52,2022 Q1,CA,9.1,2022
53,2022 Q2,CA,9,2022
54,2022 Q3,CA,9.1,2022
55,2020 Q1,CO,14.8,2020
56,2020 Q2,CO,15.2,2020
57,2020 Q3,CO,16,2020
58,2020 Q4,CO,15.9,2020
59,2021 Q1,CO,16.7,2021
60,2021 Q2,CO,17.3,2021
61,2021 Q3,CO,16.7,2021
62,2021 Q4,CO,18.3,2021
63,2022 Q1,CO,17.6,2022
64,2022 Q2,CO,17.3,2022
65,2022 Q3,CO,17.8,2022
66,2020 Q1,CT,5.5,2020
67,2020 Q2,CT,5.4,2020
68,2020 Q3,CT,5.7,2020
69,2020 Q4,CT,6.2,2020
70,2021 Q1,CT,6.3,2021
71,2021 Q2,CT,7,2021
72,2021 Q3,CT,7.3,2021
73,2021 Q4,CT,6.9,2021
74,2022 Q1,CT,7.3,2022
75,2022 Q2,CT,7.1,2022
76,2022 Q3,CT,6.8,2022
77,2020 Q1,DC,20.6,2020
78,2020 Q2,DC,21.5,2020
79,2020 Q3,DC,21.9,2020
80,2020 Q4,DC,23.4,2020
81,2021 Q1,DC,23.7,2021
82,2021 Q2,DC,24.7,2021
83,2021 Q3,DC,26.5,2021
84,2021 Q4,DC,27.6,2021
85,2022 Q1,DC,26.7,2022
86,2022 Q2,DC,28.5,2022
87,2022 Q3,DC,26.9,2022
88,2020 Q1,DE,9.8,2020
89,2020 Q2,DE,11.5,2020
90,2020 Q3,DE,12.6,2020
91,2020 Q4,DE,13.7,2020
92,2021 Q1,DE,13.9,2021
93,2021 Q2,DE,15.4,2021
94,2021 Q3,DE,15.9,2021
95,2021 Q4,DE,15.7,2021
96,2022 Q1,DE,15.8,2022
97,2022 Q2,DE,14,2022
98,2022 Q3,DE,12.6,2022
99,2020 Q1,FL,13.5,2020
100,2020 Q2,FL,13.4,2020
101,2020 Q3,FL,13.9,2020
102,2020 Q4,FL,14,2020
103,2021 Q1,FL,14.1,2021
104,2021 Q2,FL,14.5,2021
105,2021 Q3,FL,14.3,2021
106,2021 Q4,FL,14.4,2021
107,2022 Q1,FL,14.3,2022
108,2022 Q2,FL,14.7,2022
109,2022 Q3,FL,14.7,2022
110,2020 Q1,GA,16.1,2020
111,2020 Q2,GA,16.2,2020
112,2020 Q3,GA,16.8,2020
113,2020 Q4,GA,17.7,2020
114,2021 Q1,GA,18.3,2021
115,2021 Q2,GA,19.3,2021
116,2021 Q3,GA,20,2021
117,2021 Q4,GA,20.4,2021
118,2022 Q1,GA,20.7,2022
119,2022 Q2,GA,20.5,2022
120,2022 Q3,GA,19.7,2022
121,2020 Q1,HI,4,2020
122,2020 Q2,HI,3.7,2020
123,2020 Q3,HI,3.9,2020
124,2020 Q4,HI,3.6,2020
125,2021 Q1,HI,4,2021
126,2021 Q2,HI,4.7,2021
127,2021 Q3,HI,5.1,2021
128,2021 Q4,HI,4.9,2021
129,2022 Q1,HI,5,2022
130,2022 Q2,HI,4.7,2022
131,2022 Q3,HI,4.3,2022
132,2020 Q1,IA,9.7,2020
133,2020 Q2,IA,10.2,2020
134,2020 Q3,IA,11.3,2020
135,2020 Q4,IA,11.1,2020
136,2021 Q1,IA,10.9,2021
137,2021 Q2,IA,10.9,2021
138,2021 Q3,IA,10.9,2021
139,2021 Q4,IA,11.4,2021
140,2022 Q1,IA,11.3,2022
141,2022 Q2,IA,11.1,2022
142,2022 Q3,IA,10.9,2022
143,2020 Q1,ID,15.8,2020
144,2020 Q2,ID,16.3,2020
145,2020 Q3,ID,16.7,2020
146,2020 Q4,ID,17.6,2020
147,2021 Q1,ID,17.5,2021
148,2021 Q2,ID,16.5,2021
149,2021 Q3,ID,17.1,2021
150,2021 Q4,ID,16.3,2021
151,2022 Q1,ID,16.2,2022
152,2022 Q2,ID,17.6,2022
153,2022 Q3,ID,16.6,2022
154,2020 Q1,IL,10.9,2020
155,2020 Q2,IL,11.9,2020
156,2020 Q3,IL,13.1,2020
157,2020 Q4,IL,13.9,2020
158,2021 Q1,IL,14.6,2021
159,2021 Q2,IL,14.4,2021
160,2021 Q3,IL,15,2021
161,2021 Q4,IL,15.7,2021
162,2022 Q1,IL,15.6,2022
163,2022 Q2,IL,15.4,2022
164,2022 Q3,IL,14.7,2022
165,2020 Q1,IN,14.7,2020
166,2020 Q2,IN,15,2020
167,2020 Q3,IN,16.2,2020
168,2020 Q4,IN,17.2,2020
169,2021 Q1,IN,17.6,2021
170,2021 Q2,IN,17.9,2021
171,2021 Q3,IN,18.2,2021
172,2021 Q4,IN,18.4,2021
173,2022 Q1,IN,18,2022
174,2022 Q2,IN,18.5,2022
175,2022 Q3,IN,17.9,2022
176,2020 Q1,KS,14.3,2020
177,2020 Q2,KS,15.2,2020
178,2020 Q3,KS,16.1,2020
179,2020 Q4,KS,17,2020
180,2021 Q1,KS,17.4,2021
181,2021 Q2,KS,16.9,2021
182,2021 Q3,KS,17.7,2021
183,2021 Q4,KS,17.1,2021
184,2022 Q1,KS,18,2022
185,2022 Q2,KS,18.2,2022
186,2022 Q3,KS,17.5,2022
187,2020 Q1,KY,16.2,2020
188,2020 Q2,KY,16.3,2020
189,2020 Q3,KY,18.2,2020
190,2020 Q4,KY,20.1,2020
191,2021 Q1,KY,20.9,2021
192,2021 Q2,KY,21.8,2021
193,2021 Q3,KY,21.9,2021
194,2021 Q4,KY,21,2021
195,2022 Q1,KY,20.5,2022
196,2022 Q2,KY,19.8,2022
197,2022 Q3,KY,18.6,2022
198,2020 Q1,LA,21.7,2020
199,2020 Q2,LA,21.8,2020
200,2020 Q3,LA,23.7,2020
201,2020 Q4,LA,25.5,2020
202,2021 Q1,LA,27.4,2021
203,2021 Q2,LA,28.9,2021
204,2021 Q3,LA,29,2021
205,2021 Q4,LA,28.4,2021
206,2022 Q1,LA,28.5,2022
207,2022 Q2,LA,28.8,2022
208,2022 Q3,LA,27.4,2022
209,2020 Q1,MA,3.7,2020
210,2020 Q2,MA,3.8,2020
211,2020 Q3,MA,4,2020
212,2020 Q4,MA,3.9,2020
213,2021 Q1,MA,3.8,2021
214,2021 Q2,MA,3.5,2021
215,2021 Q3,MA,3.3,2021
216,2021 Q4,MA,3.5,2021
217,2022 Q1,MA,3.7,2022
218,2022 Q2,MA,3.8,2022
219,2022 Q3,MA,3.9,2022
220,2020 Q1,MD,12.3,2020
221,2020 Q2,MD,13,2020
222,2020 Q3,MD,12.8,2020
223,2020 Q4,MD,13.3,2020
224,2021 Q1,MD,14.1,2021
225,2021 Q2,MD,14.3,2021
226,2021 Q3,MD,14.9,2021
227,2021 Q4,MD,14.8,2021
228,2022 Q1,MD,14.6,2022
229,2022 Q2,MD,14.1,2022
230,2022 Q3,MD,13.5,2022
231,2020 Q1,ME,11.2,2020
232,2020 Q2,ME,11,2020
233,2020 Q3,ME,11.6,2020
234,2020 Q4,ME,11.3,2020
235,2021 Q1,ME,11.5,2021
236,2021 Q2,ME,12.5,2021
237,2021 Q3,ME,13,2021
238,2021 Q4,ME,13,2021
239,2022 Q1,ME,12.6,2022
240,2022 Q2,ME,12.5,2022
241,2022 Q3,ME,11.8,2022
242,2020 Q1,MI,12.7,2020
243,2020 Q2,MI,12.8,2020
244,2020 Q3,MI,13.4,2020
245,2020 Q4,MI,14.6,2020
246,2021 Q1,MI,14.9,2021
247,2021 Q2,MI,15.5,2021
248,2021 Q3,MI,16,2021
249,2021 Q4,MI,15.4,2021
250,2022 Q1,MI,15.6,2022
251,2022 Q2,MI,15.5,2022
252,2022 Q3,MI,15,2022
253,2020 Q1,MN,8.4,2020
254,2020 Q2,MN,8.5,2020
255,2020 Q3,MN,8.6,2020
256,2020 Q4,MN,9.1,2020
257,2021 Q1,MN,9.3,2021
258,2021 Q2,MN,9.6,2021
259,2021 Q3,MN,10,2021
260,2021 Q4,MN,10,2021
261,2022 Q1,MN,10.1,2022
262,2022 Q2,MN,10.5,2022
263,2022 Q3,MN,10.3,2022
264,2020 Q1,MO,20.5,2020
265,2020 Q2,MO,21.3,2020
266,2020 Q3,MO,22.6,2020
267,2020 Q4,MO,23.2,2020
268,2021 Q1,MO,24,2021
269,2021 Q2,MO,23.9,2021
270,2021 Q3,MO,23.1,2021
271,2021 Q4,MO,22.9,2021
272,2022 Q1,MO,23.3,2022
273,2022 Q2,MO,23.7,2022
274,2022 Q3,MO,23.8,2022
275,2020 Q1,MS,23.1,2020
276,2020 Q2,MS,23.8,2020
277,2020 Q3,MS,25.8,2020
278,2020 Q4,MS,27.6,2020
279,2021 Q1,MS,29.5,2021
280,2021 Q2,MS,30.9,2021
281,2021 Q3,MS,33,2021
282,2021 Q4,MS,32.6,2021
283,2022 Q1,MS,32.3,2022
284,2022 Q2,MS,31.1,2022
285,2022 Q3,MS,28.4,2022
286,2020 Q1,MT,21,2020
287,2020 Q2,MT,22.6,2020
288,2020 Q3,MT,22,2020
289,2020 Q4,MT,22,2020
290,2021 Q1,MT,21.8,2021
291,2021 Q2,MT,22.1,2021
292,2021 Q3,MT,23.3,2021
293,2021 Q4,MT,25.4,2021
294,2022 Q1,MT,25.5,2022
295,2022 Q2,MT,24.1,2022
296,2022 Q3,MT,24.2,2022
297,2020 Q1,NC,13.7,2020
298,2020 Q2,NC,14.2,2020
299,2020 Q3,NC,15,2020
300,2020 Q4,NC,16,2020
301,2021 Q1,NC,16.2,2021
302,2021 Q2,NC,17.1,2021
303,2021 Q3,NC,17.2,2021
304,2021 Q4,NC,17.4,2021
305,2022 Q1,NC,17.4,2022
306,2022 Q2,NC,17.2,2022
307,2022 Q3,NC,17.3,2022
308,2020 Q1,ND,12.4,2020
309,2020 Q2,ND,11.2,2020
310,2020 Q3,ND,12,2020
311,2020 Q4,ND,13.1,2020
312,2021 Q1,ND,14.5,2021
313,2021 Q2,ND,14.8,2021
314,2021 Q3,ND,16,2021
315,2021 Q4,ND,16.5,2021
316,2022 Q1,ND,16.4,2022
317,2022 Q2,ND,15.9,2022
318,2022 Q3,ND,15.8,2022
319,2020 Q1,NE,9.9,2020
320,2020 Q2,NE,9.2,2020
321,2020 Q3,NE,9.3,2020
322,2020 Q4,NE,10.2,2020
323,2021 Q1,NE,11,2021
324,2021 Q2,NE,10.7,2021
325,2021 Q3,NE,10.1,2021
326,2021 Q4,NE,10.2,2021
327,2022 Q1,NE,10.3,2022
328,2022 Q2,NE,11.3,2022
329,2022 Q3,NE,12.5,2022
330,2020 Q1,NH,10.7,2020
331,2020 Q2,NH,9.7,2020
332,2020 Q3,NH,9.4,2020
333,2020 Q4,NH,9.4,2020
334,2021 Q1,NH,9.9,2021
335,2021 Q2,NH,10.2,2021
336,2021 Q3,NH,9,2021
337,2021 Q4,NH,8.9,2021
338,2022 Q1,NH,8.7,2022
339,2022 Q2,NH,9.3,2022
340,2022 Q3,NH,10.3,2022
341,2020 Q1,NJ,4.2,2020
342,2020 Q2,NJ,4.4,2020
343,2020 Q3,NJ,4.8,2020
344,2020 Q4,NJ,5,2020
345,2021 Q1,NJ,4.9,2021
346,2021 Q2,NJ,4.9,2021
