"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","Rank","UnitedStatesAllies2023"
484,128455567,0.00746,1964375,"Mexico","MEX","MX",484,"North America","Central America, Latin America",true,"United Mexican States",1943950,66.0797,171.1463,10,"Ally"
392,123294513,-0.0053,377930,"Japan","JPN","JP",392,"Asia","Eastern Asia",true,"Japan",364500,338.2566,876.0845,12,"Ally"
608,117337368,0.01539,342353,"Philippines","PHL","PH",608,"Asia","South-Eastern Asia",true,"Republic of the Philippines",298170,393.5251,1019.2299,13,"Ally"
792,85816199,0.00557,783562,"Turkey","TUR","TR",792,"Asia","Western Asia, The Middle East",true,"Republic of Turkey",783562,109.5206,283.6584,18,"Ally"
276,83294633,-0.0009,357114,"Germany","DEU","DE",276,"Europe","Western Europe",true,"Federal Republic of Germany",349390,238.4002,617.4564,19,"Ally"
826,67736802,0.00338,242900,"United Kingdom","GBR","GB",826,"Europe","Northern Europe",true,"United Kingdom of Great Britain and Northern Ireland",241930,279.9851,725.1615,21,"Ally"
250,64756584,0.00201,551695,"France","FRA","FR",250,"Europe","Western Europe",true,"French Republic",547557,118.2646,306.3052,23,"Ally"
380,58870762,-0.00282,301336,"Italy","ITA","IT",380,"Europe","Southern Europe",true,"Italian Republic",295717,199.078,515.6121,25,"Ally"
404,55100586,0.01986,580367,"Kenya","KEN","KE",404,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Kenya",569140,96.8138,250.7477,26,"Ally"
410,51784059,-0.00061,100210,"South Korea","KOR","KR",410,"Asia","Eastern Asia",true,"Republic of Korea",97600,530.5744,1374.1876,29,"Ally"
724,47519628,-0.00082,505992,"Spain","ESP","ES",724,"Europe","Southern Europe",true,"Kingdom of Spain",499556.6,95.1236,246.3702,32,"Ally"
616,41026067,0.02933,312679,"Poland","POL","PL",616,"Europe","Eastern Europe",true,"Republic of Poland",306130,134.0152,347.0993,37,"Ally"
124,38781291,0.0085,9984670,"Canada","CAN","CA",124,"North America","Northern America",true,"Canada",8965590,4.3256,11.2032,38,"Ally"
682,36947025,0.01478,2149690,"Saudi Arabia","SAU","SA",682,"Asia","Western Asia, The Middle East",true,"Kingdom of Saudi Arabia",2149690,17.1871,44.5147,40,"Ally"
804,36744634,-0.07448,603500,"Ukraine","UKR","UA",804,"Europe","Eastern Europe",true,"Ukraine",579400,63.4184,164.2537,41,"Ally"
458,34308525,0.01091,330803,"Malaysia","MYS","MY",458,"Asia","South-Eastern Asia",true,"Malaysia",328550,104.4241,270.4583,46,"Ally"
36,26439111,0.01,7692024,"Australia","AUS","AU",36,"Oceania","Australia and New Zealand",true,"Commonwealth of Australia",7692020,3.4372,8.9024,55,"Ally"
642,19892812,0.01188,238391,"Romania","ROU","RO",642,"Europe","Eastern Europe",true,"Romania",230080,86.4604,223.9325,64,"Ally"
528,17618299,0.00309,41850,"Netherlands","NLD","NL",528,"Europe","Western Europe",true,"Netherlands",33670,523.264,1355.2538,72,"Ally"
56,11686140,0.00259,30528,"Belgium","BEL","BE",56,"Europe","Western Europe",true,"Kingdom of Belgium",30280,385.9359,999.5741,82,"Ally"
203,10495295,0.00013,78865,"Czech Republic","CZE","CZ",203,"Europe","Eastern Europe",true,"Czech Republic",77198.5,135.9521,352.1158,89,"Ally"
300,10341277,-0.00421,131990,"Greece","GRC","GR",300,"Europe","Southern Europe",true,"Hellenic Republic",128900,80.2271,207.7883,91,"Ally"
620,10247605,-0.00227,92090,"Portugal","PRT","PT",620,"Europe","Southern Europe",true,"Portuguese Republic",91605.6,111.8666,289.7344,93,"Ally"
348,10156239,0.01896,93028,"Hungary","HUN","HU",348,"Europe","Eastern Europe",true,"Hungary",91260,111.2891,288.2386,94,"Ally"
376,9174520,0.01507,20770,"Israel","ISR","IL",376,"Asia","Western Asia, The Middle East",true,"State of Israel",21640,423.9612,1098.0595,98,"Ally"
40,8958960,0.00216,83871,"Austria","AUT","AT",40,"Europe","Western Europe",true,"Republic of Austria",82520,108.5671,281.1889,100,"Ally"
100,6687717,-0.0139,110879,"Bulgaria","BGR","BG",100,"Europe","Eastern Europe",true,"Republic of Bulgaria",108560,61.6039,159.554,110,"Ally"
702,6014723,0.00653,710,"Singapore","SGP","SG",702,"Asia","South-Eastern Asia",true,"Republic of Singapore",718,8377.0515,21696.5635,114,"Ally"
208,5910913,0.00487,43094,"Denmark","DNK","DK",208,"Europe","Northern Europe",true,"Kingdom of Denmark",40000,147.7728,382.7316,115,"Ally"
703,5795199,0.02689,49037,"Slovakia","SVK","SK",703,"Europe","Eastern Europe",true,"Slovak Republic",49035,118.1849,306.099,116,"Ally"
246,5545475,0.00085,338424,"Finland","FIN","FI",246,"Europe","Northern Europe",true,"Republic of Finland",303940,18.2453,47.2553,118,"Ally"
578,5474360,0.00737,323802,"Norway","NOR","NO",578,"Europe","Northern Europe",true,"Kingdom of Norway",364285,15.0277,38.9217,119,"Ally"
554,5228100,0.00826,270467,"New Zealand","NZL","NZ",554,"Oceania","Australia and New Zealand",true,"New Zealand",263310,19.8553,51.4252,123,"Ally"
188,5212173,0.00605,51100,"Costa Rica","CRI","CR",188,"North America","Central America, Latin America",true,"Republic of Costa Rica",51060,102.0794,264.3856,124,"Ally"
372,5056935,0.00673,70273,"Ireland","IRL","IE",372,"Europe","Northern Europe",true,"Ireland",68890,73.4059,190.1214,125,"Ally"
191,4008617,-0.00539,56594,"Croatia","HRV","HR",191,"Europe","Southern Europe",true,"Republic of Croatia",55960,71.6336,185.5311,130,"Ally"
