
"All fuels (utility-scale) : United States",,"ELEC.GEN.ALL-US-99.A",,
"All fuels (utility-scale) : New England",,"ELEC.GEN.ALL-NEW-99.A",,
"All fuels (utility-scale) : Connecticut","thousand megawatthours","ELEC.GEN.ALL-CT-99.A",44080,43175
"All fuels (utility-scale) : Maine","thousand megawatthours","ELEC.GEN.ALL-ME-99.A",10908,11665
"All fuels (utility-scale) : Massachusetts","thousand megawatthours","ELEC.GEN.ALL-MA-99.A",19477,21581
"All fuels (utility-scale) : New Hampshire","thousand megawatthours","ELEC.GEN.ALL-NH-99.A",17193,18596
"All fuels (utility-scale) : Rhode Island","thousand megawatthours","ELEC.GEN.ALL-RI-99.A",9323,8104
"All fuels (utility-scale) : Vermont","thousand megawatthours","ELEC.GEN.ALL-VT-99.A",2108,2048
"All fuels (utility-scale) : Middle Atlantic",,"ELEC.GEN.ALL-MAT-99.A",,
"All fuels (utility-scale) : New Jersey","thousand megawatthours","ELEC.GEN.ALL-NJ-99.A",61434,65084
"All fuels (utility-scale) : New York","thousand megawatthours","ELEC.GEN.ALL-NY-99.A",124772,125238
"All fuels (utility-scale) : Pennsylvania","thousand megawatthours","ELEC.GEN.ALL-PA-99.A",241331,237876
"All fuels (utility-scale) : East North Central",,"ELEC.GEN.ALL-ENC-99.A",,
"All fuels (utility-scale) : Illinois","thousand megawatthours","ELEC.GEN.ALL-IL-99.A",181638,189620
"All fuels (utility-scale) : Indiana","thousand megawatthours","ELEC.GEN.ALL-IN-99.A",94165,97931
"All fuels (utility-scale) : Michigan","thousand megawatthours","ELEC.GEN.ALL-MI-99.A",115513,116226
"All fuels (utility-scale) : Ohio","thousand megawatthours","ELEC.GEN.ALL-OH-99.A",125948,135550
"All fuels (utility-scale) : Wisconsin","thousand megawatthours","ELEC.GEN.ALL-WI-99.A",64276,61254
"All fuels (utility-scale) : West North Central",,"ELEC.GEN.ALL-WNC-99.A",,
"All fuels (utility-scale) : Iowa","thousand megawatthours","ELEC.GEN.ALL-IA-99.A",67207,71316
"All fuels (utility-scale) : Kansas","thousand megawatthours","ELEC.GEN.ALL-KS-99.A",56631,62569
