"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	47	4430141	1.1	0.8	1.4	1.1	0.4%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	33	4447100	0.7	0.5	1.0	0.7	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	37	4467634	0.8	0.6	1.1	0.8	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	36	4480089	0.8	0.6	1.1	0.8	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	34	4503491	0.8	0.5	1.1	0.7	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	27	4530729	0.6	0.4	0.9	0.6	0.2%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	34	4569805	0.7	0.5	1.0	0.7	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	35	4628981	0.8	0.5	1.1	0.8	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	22	4672840	0.5	0.3	0.7	0.5	0.2%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	29	4718206	0.6	0.4	0.9	0.6	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	27	4757938	0.6	0.4	0.8	0.6	0.2%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	33	4779736	0.7	0.5	1.0	0.7	0.3%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	23	4799918	0.5	0.3	0.7	0.5	0.2%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	11	4815960	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	20	4829479	0.4	0.3	0.6	0.4	0.2%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	21	4843214	0.4	0.3	0.7	0.5	0.2%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	17	4853875	0.4 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.1%
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	19	4863300	0.4 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.2%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	17	5023823	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.1%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	12	5130632	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	12	5273477	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	22	5396255	0.4	0.3	0.6	0.4	0.2%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	11	5652404	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	12	5839077	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Arizona"	"04"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	11	6167681	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	20	2651860	0.8	0.5	1.2	0.8	0.2%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	10	2691571	0.4 (Unreliable)	0.2	0.7	0.4 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	15	2705927	0.6 (Unreliable)	0.3	0.9	0.5 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	15	2724816	0.6 (Unreliable)	0.3	0.9	0.5 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	13	2749686	0.5 (Unreliable)	0.3	0.8	0.5 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	14	2848650	0.5 (Unreliable)	0.3	0.8	0.5 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	15	2874554	0.5 (Unreliable)	0.3	0.9	0.5 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	11	2958663	0.4 (Unreliable)	0.2	0.7	0.4 (Unreliable)	0.1%
	"Arkansas"	"05"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	16	2977853	0.5 (Unreliable)	0.3	0.9	0.5 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"1999"	"1999"	21	33499204	0.1	0.0	0.1	0.1	0.2%
	"California"	"06"	"Handgun discharge"	"W32"	"2000"	"2000"	21	33871648	0.1	0.0	0.1	0.1	0.2%
	"California"	"06"	"Handgun discharge"	"W32"	"2001"	"2001"	15	34479458	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"2002"	"2002"	15	34871843	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"2003"	"2003"	17	35253159	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"2004"	"2004"	15	35574576	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"2005"	"2005"	18	35827943	0.1 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.2%
	"California"	"06"	"Handgun discharge"	"W32"	"2006"	"2006"	25	36021202	0.1	0.0	0.1	0.1	0.2%
	"California"	"06"	"Handgun discharge"	"W32"	"2007"	"2007"	19	36250311	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.2%
	"California"	"06"	"Handgun discharge"	"W32"	"2008"	"2008"	11	36604337	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"2009"	"2009"	11	36961229	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Handgun discharge"	"W32"	"2016"	"2016"	13	39250017	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2000"	"2000"	10	33871648	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2001"	"2001"	10	34479458	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2003"	"2003"	12	35253159	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Rifle, shotgun and larger firearm discharge"	"W33"	"2005"	"2005"	18	35827943	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	22	33499204	0.1	0.0	0.1	0.1	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	35	33871648	0.1	0.1	0.1	0.1	0.3%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	72	34479458	0.2	0.2	0.3	0.2	0.6%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	25	34871843	0.1	0.0	0.1	0.1	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	39	35253159	0.1	0.1	0.2	0.1	0.3%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	31	35574576	0.1	0.1	0.1	0.1	0.3%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	110	35827943	0.3	0.2	0.4	0.3	1.0%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	40	36021202	0.1	0.1	0.2	0.1	0.4%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	19	36250311	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	23	36604337	0.1	0.0	0.1	0.1	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	14	36961229	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	10	37253956	0.0 (Unreliable)	0.0	0.0	0.0 (Unreliable)	0.1%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	19	37676861	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	17	38011074	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	19	38335203	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.2%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	13	38680810	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	16	38993940	0.0 (Unreliable)	0.0	0.1	0.0 (Unreliable)	0.1%
	"California"	"06"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	20	39250017	0.1	0.0	0.1	0.0	0.2%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	11	15759421	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	13	15982378	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	11	16356966	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	15	16689370	0.1 (Unreliable)	0.1	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	21	17004085	0.1	0.1	0.2	0.1	0.2%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	14	17415318	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	15	17842038	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	17	18166990	0.1 (Unreliable)	0.1	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	13	18367842	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	12	18527305	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	13	18652644	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	11	18801310	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	19	19096952	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.2%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	15	19344156	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	15	19582022	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	20	19888741	0.1	0.1	0.2	0.1	0.2%
	"Florida"	"12"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	24	20244914	0.1	0.1	0.2	0.1	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	15	8045965	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	31	8186453	0.4	0.3	0.5	0.4	0.3%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	21	8377038	0.3	0.2	0.4	0.2	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	14	8508256	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	12	8622793	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	19	8769252	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	14	8925922	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	19	9155813	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	17	9349988	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	27	9504843	0.3	0.2	0.4	0.3	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	18	9620846	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	32	9687653	0.3	0.2	0.5	0.3	0.3%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	19	9811610	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.2%
